keyword,match_type,scope,destination,intent_category,evidence,reason,confidence,approval_status,notes
job,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
jobs,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
career,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
careers,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
salary,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
salaries,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
internship,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
internships,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
resume,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
hiring,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
glassdoor,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment-platform searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
